latitud,longitud,comp_n,comp_e
13,-58,0.0154,0.014
12,-88,0.0029,0.0104
12,-87,0.0053,0.0089
12,-86,0.0063,0.0086
12,-85,0.0069,0.0086
12,-84,0.011,0.0111
12,-83,0.006,0.0146
12,-82,0.0069,0.0151
12,-81,0.0065,0.0151
12,-80,0.0073,0.0148
12,-79,0.0088,0.0154
12,-78,0.0099,0.0129
12,-77,0.0102,0.0106
12,-76,0.0107,0.0106
12,-75,0.0117,0.0109
12,-74,0.0136,0.0102
12,-73,0.0138,0.0112
12,-72,0.0134,0.0113
12,-71,0.0125,0.0119
12,-70,0.0117,0.0135
12,-69,0.0119,0.0136
12,-68,0.013,0.0127
12,-67,0.0139,0.0126
12,-66,0.0123,0.0139
12,-65,0.0116,0.0135
12,-64,0.0121,0.0136
12,-63,0.0125,0.0136
12,-62,0.0129,0.0133
12,-61,0.0134,0.0137
12,-60,0.0138,0.0136
12,-59,0.0143,0.0139
12,-58,0.0147,0.0138
11,-87,0.0068,0.0071
11,-86,0.0104,0.0099
11,-85,0.0109,0.0099
11,-84,0.0124,0.0125
11,-83,0.0146,0.0153
11,-82,0.008,0.0172
11,-81,0.0082,0.0167
11,-80,0.0113,0.0177
11,-79,0.0118,0.0177
11,-78,0.0118,0.0179
11,-77,0.0102,0.0112
11,-76,0.011,0.0114
11,-75,0.0122,0.0107
11,-74,0.0136,0.0109
11,-73,0.0143,0.0105
11,-72,0.0139,0.0113
11,-71,0.0132,0.0123
11,-70,0.0125,0.0128
11,-69,0.0126,0.0131
11,-68,0.0132,0.013
11,-67,0.0138,0.013
11,-66,0.0124,0.0143
11,-65,0.0116,0.0141
11,-64,0.012,0.0137
11,-63,0.0124,0.0137
11,-62,0.0129,0.0138
11,-61,0.0133,0.0138
11,-60,0.0138,0.014
11,-59,0.0142,0.0136
11,-58,0.0147,0.0137
10,-86,0.0116,0.0105
10,-85,0.0133,0.0127
10,-84,0.0145,0.0141
10,-83,0.0094,0.0184
10,-82,0.014,0.0213
10,-81,0.0101,0.0194
10,-80,0.0108,0.0196
10,-79,0.012,0.0196
10,-78,0.0123,0.0203
10,-77,0.0107,0.0174
10,-76,0.0109,0.013
10,-75,0.0118,0.0122
10,-74,0.0125,0.0105
10,-73,0.0142,0.0096
10,-72,0.0144,0.0098
10,-71,0.0143,0.0081
10,-70,0.0119,0.0026
10,-69,0.012,0.0026
10,-68,0.0126,0.0027
10,-67,0.0124,0.0014
10,-66,0.0123,0.0022
10,-65,0.0124,0.0023
10,-64,0.0119,0.0013
10,-63,0.0119,0.0003
10,-62,0.0121,0.0003
10,-61,0.0121,-0.0001
9,-84,0.015,0.0172
9,-83,0.0144,0.0186
9,-82,0.0128,0.0215
9,-81,0.0112,0.0203
9,-80,0.0107,0.0198
9,-79,0.0115,0.0203
9,-78,0.0121,0.02
9,-77,0.0112,0.0175
9,-76,0.0112,0.0138
9,-75,0.0118,0.0123
9,-74,0.0129,0.0103
9,-73,0.0136,0.0081
9,-72,0.0135,0.0069
9,-71,0.0127,0.0038
9,-70,0.0129,0.0039
9,-69,0.012,0.0027
9,-68,0.0122,0.0022
9,-67,0.0117,-0.0003
9,-66,0.0117,0.0001
9,-65,0.0118,0.0005
9,-64,0.0118,-0.0001
9,-63,0.0119,0
9,-62,0.0121,0.0001
9,-61,0.012,-0.0008
8,-83,0.0161,0.0227
8,-82,0.0132,0.0226
